model,metric,score,std_dev
Decision Tree,Accuracy,0.7253681392235609,0.01739212927210124
Decision Tree,Precision,0.7257775453923703,0.017363528220991294
Decision Tree,Recall,0.7253959731543624,0.017275945927324423
Decision Tree,F1 Score,0.7245412163445042,0.017502965694797958
KNN,Accuracy,0.8356448968780648,0.02164299348743067
KNN,Precision,0.8581539470157324,0.007157140264407556
KNN,Recall,0.8356724832214766,0.021338177610134755
KNN,F1 Score,0.8270862158760076,0.024388407081904616
Linear SVC,Accuracy,0.897749643851699,0.004489391499660367
Linear SVC,Precision,0.898215933792361,0.004040489561626335
Linear SVC,Recall,0.8977628635346757,0.004345003279180463
Linear SVC,F1 Score,0.8944005899968784,0.005093912167679567
Naive Bayes,Accuracy,0.8450214404856503,0.00905486103315025
Naive Bayes,Precision,0.8458362507956704,0.009473471875123391
Naive Bayes,Recall,0.8450255033557047,0.009101894290645977
Naive Bayes,F1 Score,0.8397065809582523,0.008940952089124677
Random Forest,Accuracy,0.8212031727623506,0.01818656198185135
Random Forest,Precision,0.8285871873393832,0.016372978196550335
Random Forest,Recall,0.82122774049217,0.018243257508035772
Random Forest,F1 Score,0.8221283294064783,0.017862510589844022
